datetime_utc,decreases_25_december_2025_no,decreases_25_december_2025_yes,decreases_50_december_2025_no,decreases_50_december_2025_yes,increases_25_december_2025_no,increases_25_december_2025_yes,no_change_december_2025_no,no_change_december_2025_yes
2025-12-01,,,,0.0105,,,,
2025-12-01,,,,,,,,0.105
2025-12-01,,,0.9895,,,,,
2025-12-02,,,,,,0.0025,,
2025-12-02,,,,,0.9975,,,
2025-12-02,0.115,,,,,,0.895,
2025-12-02,,0.885,,0.0095,,,,
2025-12-02,,,,,,,,0.105
2025-12-02,,,0.9905,,,,,
2025-12-03,,,,,,0.0025,,
2025-12-03,,,,,0.9975,,,
2025-12-03,0.085,,,,,,,
2025-12-03,,,,,,,0.925,
2025-12-03,,0.915,,0.0075,,,,
2025-12-03,,,,,,,,0.075
2025-12-03,,,0.9925,,,,,
2025-12-04,,,,,,0.0015,,
2025-12-04,,,,,0.9985,,,
2025-12-04,0.065,,,,,,,
2025-12-04,,,,,,,0.945,
2025-12-04,,0.935,,,,,,
2025-12-04,,,,0.0065,,,,
2025-12-04,,,,,,,,0.055
2025-12-04,,,0.9935,,,,,
2025-12-05,,,,,,0.0015,,
2025-12-05,,,,,0.9985,,,
2025-12-05,0.075,,,,,,,
2025-12-05,,,,,,,0.925,
2025-12-05,,0.925,,0.0045,,,,
2025-12-05,,,,,,,,0.075
2025-12-05,,,0.9955,,,,,
2025-12-06,,,,,,0.0015,,
2025-12-06,,,,,0.9985,,,
2025-12-06,0.065,,,,,,,
2025-12-06,,,,,,,0.935,
2025-12-06,,0.935,,0.0065,,,,
2025-12-06,,,,,,,,0.065
2025-12-06,,,0.9935,,,,,
2025-12-07,,,,,,0.0015,,
2025-12-07,,,,,0.9985,,,
2025-12-07,0.075,,,,,,,
2025-12-07,,,,,,,0.925,
2025-12-07,,0.925,,,,,,
2025-12-07,,,,0.0065,,,,
2025-12-07,,,,,,,,0.075
2025-12-07,,,0.9935,,,,,
2025-12-08,,,,,,0.0005,,
2025-12-08,,,,,0.9995,,,
2025-12-08,0.075,,,,,,,
2025-12-08,,,,,,,0.935,
2025-12-08,,0.925,,0.0065,,,,
2025-12-08,,,,,,,,0.065
2025-12-08,,,0.9935,,,,,
2025-12-09,,,,,,0.0005,,
2025-12-09,,,,,0.9995,,,
2025-12-09,0.065,,,,,,,
2025-12-09,,,,,,,0.945,
2025-12-09,,0.935,,,,,,
2025-12-09,,,,0.008,,,,
2025-12-09,,,0.992,,,,,0.055
2025-12-10,,,,,,0.0005,,
2025-12-10,,,,,0.9995,,,
2025-12-10,0.0315,,,,,,,
2025-12-10,,,,,,,0.972,
2025-12-10,,0.9685,,,,,,
2025-12-10,,,,0.0045,,,,
2025-12-10,,,,,,,,0.028
2025-12-10,,,0.9955,,,,,
