timestamp_unix,datetime_utc,increases_25_december_2025_yes
1754006409,2025-08-01T00:00:09+00:00,0.06
1754092809,2025-08-02T00:00:09+00:00,0.03
1754179208,2025-08-03T00:00:08+00:00,0.0295
1754265607,2025-08-04T00:00:07+00:00,0.029
1754352008,2025-08-05T00:00:08+00:00,0.026
1754438409,2025-08-06T00:00:09+00:00,0.027
1754524803,2025-08-07T00:00:03+00:00,0.0285
1754611205,2025-08-08T00:00:05+00:00,0.029
1754697602,2025-08-09T00:00:02+00:00,0.028
1754784004,2025-08-10T00:00:04+00:00,0.027
1754870406,2025-08-11T00:00:06+00:00,0.027
1754956808,2025-08-12T00:00:08+00:00,0.027
1755043209,2025-08-13T00:00:09+00:00,0.0195
1755129608,2025-08-14T00:00:08+00:00,0.015
1755216012,2025-08-15T00:00:12+00:00,0.018
1755302410,2025-08-16T00:00:10+00:00,0.0165
1755388810,2025-08-17T00:00:10+00:00,0.0185
1755475205,2025-08-18T00:00:05+00:00,0.0185
1755561613,2025-08-19T00:00:13+00:00,0.018
1755648006,2025-08-20T00:00:06+00:00,0.018
1755734404,2025-08-21T00:00:04+00:00,0.0155
1755820806,2025-08-22T00:00:06+00:00,0.0235
1755907214,2025-08-23T00:00:14+00:00,0.014
1755993607,2025-08-24T00:00:07+00:00,0.0135
1756080008,2025-08-25T00:00:08+00:00,0.0145
1756166406,2025-08-26T00:00:06+00:00,0.0135
1756252802,2025-08-27T00:00:02+00:00,0.0155
1756339210,2025-08-28T00:00:10+00:00,0.0145
1756425611,2025-08-29T00:00:11+00:00,0.0145
1756512012,2025-08-30T00:00:12+00:00,0.0145
1756598407,2025-08-31T00:00:07+00:00,0.015
1756684804,2025-09-01T00:00:04+00:00,0.015
1756771203,2025-09-02T00:00:03+00:00,0.015
1756857606,2025-09-03T00:00:06+00:00,0.0145
1756944015,2025-09-04T00:00:15+00:00,0.0155
1757030406,2025-09-05T00:00:06+00:00,0.0165
1757116822,2025-09-06T00:00:22+00:00,0.0075
1757203213,2025-09-07T00:00:13+00:00,0.007
1757289615,2025-09-08T00:00:15+00:00,0.0115
1757376017,2025-09-09T00:00:17+00:00,0.011
1757462411,2025-09-10T00:00:11+00:00,0.0095
1757548808,2025-09-11T00:00:08+00:00,0.0095
1757635223,2025-09-12T00:00:23+00:00,0.0075
1757721610,2025-09-13T00:00:10+00:00,0.0075
1757808006,2025-09-14T00:00:06+00:00,0.007
1757894406,2025-09-15T00:00:06+00:00,0.0065
1757980821,2025-09-16T00:00:21+00:00,0.0075
1758067213,2025-09-17T00:00:13+00:00,0.01
1758153606,2025-09-18T00:00:06+00:00,0.013
1758240018,2025-09-19T00:00:18+00:00,0.0095
1758326409,2025-09-20T00:00:09+00:00,0.0095
1758412803,2025-09-21T00:00:03+00:00,0.009
1758499216,2025-09-22T00:00:16+00:00,0.009
1758585605,2025-09-23T00:00:05+00:00,0.0085
1758672011,2025-09-24T00:00:11+00:00,0.0095
1758758402,2025-09-25T00:00:02+00:00,0.0095
1758844808,2025-09-26T00:00:08+00:00,0.0095
1758931210,2025-09-27T00:00:10+00:00,0.0095
1759017611,2025-09-28T00:00:11+00:00,0.0095
1759104008,2025-09-29T00:00:08+00:00,0.0095
1759190402,2025-09-30T00:00:02+00:00,0.0095
1759276805,2025-10-01T00:00:05+00:00,0.0095
1759363202,2025-10-02T00:00:02+00:00,0.0095
1759449609,2025-10-03T00:00:09+00:00,0.0095
1759536007,2025-10-04T00:00:07+00:00,0.0095
1759622406,2025-10-05T00:00:06+00:00,0.0095
1759708806,2025-10-06T00:00:06+00:00,0.0095
1759795206,2025-10-07T00:00:06+00:00,0.0095
1759881615,2025-10-08T00:00:15+00:00,0.0095
1759968013,2025-10-09T00:00:13+00:00,0.0095
1760054415,2025-10-10T00:00:15+00:00,0.0095
1760140810,2025-10-11T00:00:10+00:00,0.0095
1760227204,2025-10-12T00:00:04+00:00,0.0095
1760313609,2025-10-13T00:00:09+00:00,0.0095
1760400012,2025-10-14T00:00:12+00:00,0.0095
1760486409,2025-10-15T00:00:09+00:00,0.0095
1760572803,2025-10-16T00:00:03+00:00,0.0095
1760659203,2025-10-17T00:00:03+00:00,0.0095
1760745615,2025-10-18T00:00:15+00:00,0.0095
1760832008,2025-10-19T00:00:08+00:00,0.0095
1760918421,2025-10-20T00:00:21+00:00,0.0095
1761004812,2025-10-21T00:00:12+00:00,0.0095
1761091207,2025-10-22T00:00:07+00:00,0.0095
1761177606,2025-10-23T00:00:06+00:00,0.0095
1761264007,2025-10-24T00:00:07+00:00,0.0095
1761350407,2025-10-25T00:00:07+00:00,0.0095
1761436807,2025-10-26T00:00:07+00:00,0.0095
1761523207,2025-10-27T00:00:07+00:00,0.0095
1761609607,2025-10-28T00:00:07+00:00,0.0095
1761696007,2025-10-29T00:00:07+00:00,0.0095
1761782407,2025-10-30T00:00:07+00:00,0.0085
1761868806,2025-10-31T00:00:06+00:00,0.0105
1761955207,2025-11-01T00:00:07+00:00,0.0125
1762041607,2025-11-02T00:00:07+00:00,0.0125
1762128005,2025-11-03T00:00:05+00:00,0.0115
1762214407,2025-11-04T00:00:07+00:00,0.0115
1762300807,2025-11-05T00:00:07+00:00,0.0115
1762387204,2025-11-06T00:00:04+00:00,0.0115
1762473607,2025-11-07T00:00:07+00:00,0.0125
1762560006,2025-11-08T00:00:06+00:00,0.0145
1762646420,2025-11-09T00:00:20+00:00,0.0135
1762732805,2025-11-10T00:00:05+00:00,0.0045
1762819208,2025-11-11T00:00:08+00:00,0.0055
1762905609,2025-11-12T00:00:09+00:00,0.0055
1762992007,2025-11-13T00:00:07+00:00,0.0055
1763078407,2025-11-14T00:00:07+00:00,0.0055
1763164807,2025-11-15T00:00:07+00:00,0.0055
1763251207,2025-11-16T00:00:07+00:00,0.0055
1763337607,2025-11-17T00:00:07+00:00,0.0055
1763424006,2025-11-18T00:00:06+00:00,0.0055
1763510408,2025-11-19T00:00:08+00:00,0.0055
1763596806,2025-11-20T00:00:06+00:00,0.0055
1763683208,2025-11-21T00:00:08+00:00,0.0055
