timestamp_unix,datetime_utc,increases_25_january_2026_yes
1758153602,2025-09-18T00:00:02+00:00,0.033
1758240005,2025-09-19T00:00:05+00:00,0.0425
1758326417,2025-09-20T00:00:17+00:00,0.0255
1758412807,2025-09-21T00:00:07+00:00,0.026
1758499209,2025-09-22T00:00:09+00:00,0.027
1758585605,2025-09-23T00:00:05+00:00,0.0325
1758672009,2025-09-24T00:00:09+00:00,0.0315
1758758409,2025-09-25T00:00:09+00:00,0.0275
1758844814,2025-09-26T00:00:14+00:00,0.022
1758931210,2025-09-27T00:00:10+00:00,0.02
1759017608,2025-09-28T00:00:08+00:00,0.0175
1759104007,2025-09-29T00:00:07+00:00,0.0165
1759190412,2025-09-30T00:00:12+00:00,0.0145
1759276807,2025-10-01T00:00:07+00:00,0.0105
1759363203,2025-10-02T00:00:03+00:00,0.0085
1759449610,2025-10-03T00:00:10+00:00,0.0075
1759536007,2025-10-04T00:00:07+00:00,0.0075
1759622404,2025-10-05T00:00:04+00:00,0.0075
1759708808,2025-10-06T00:00:08+00:00,0.0075
1759795206,2025-10-07T00:00:06+00:00,0.0075
1759881608,2025-10-08T00:00:08+00:00,0.0095
1759968007,2025-10-09T00:00:07+00:00,0.01
1760054412,2025-10-10T00:00:12+00:00,0.0105
1760140804,2025-10-11T00:00:04+00:00,0.009
1760227218,2025-10-12T00:00:18+00:00,0.0095
1760313608,2025-10-13T00:00:08+00:00,0.009
1760400007,2025-10-14T00:00:07+00:00,0.0095
1760486415,2025-10-15T00:00:15+00:00,0.0125
1760572808,2025-10-16T00:00:08+00:00,0.01
1760659207,2025-10-17T00:00:07+00:00,0.0085
1760745604,2025-10-18T00:00:04+00:00,0.012
1760832015,2025-10-19T00:00:15+00:00,0.0085
1760918418,2025-10-20T00:00:18+00:00,0.0085
1761004808,2025-10-21T00:00:08+00:00,0.024
1761091207,2025-10-22T00:00:07+00:00,0.0105
1761177606,2025-10-23T00:00:06+00:00,0.0105
1761264007,2025-10-24T00:00:07+00:00,0.013
1761350407,2025-10-25T00:00:07+00:00,0.0115
1761436807,2025-10-26T00:00:07+00:00,0.0105
1761523207,2025-10-27T00:00:07+00:00,0.0095
1761609607,2025-10-28T00:00:07+00:00,0.01
1761696007,2025-10-29T00:00:07+00:00,0.0195
1761782407,2025-10-30T00:00:07+00:00,0.0175
1761868806,2025-10-31T00:00:06+00:00,0.022
1761955207,2025-11-01T00:00:07+00:00,0.0215
1762041607,2025-11-02T00:00:07+00:00,0.017
1762128005,2025-11-03T00:00:05+00:00,0.017
1762214406,2025-11-04T00:00:06+00:00,0.017
1762300807,2025-11-05T00:00:07+00:00,0.0175
1762387204,2025-11-06T00:00:04+00:00,0.021
1762473607,2025-11-07T00:00:07+00:00,0.02
1762560006,2025-11-08T00:00:06+00:00,0.0195
1762646419,2025-11-09T00:00:19+00:00,0.0255
1762732805,2025-11-10T00:00:05+00:00,0.0145
1762819208,2025-11-11T00:00:08+00:00,0.0205
1762905609,2025-11-12T00:00:09+00:00,0.0145
1762992007,2025-11-13T00:00:07+00:00,0.0145
1763078407,2025-11-14T00:00:07+00:00,0.0155
1763164807,2025-11-15T00:00:07+00:00,0.0145
1763251207,2025-11-16T00:00:07+00:00,0.0145
1763337607,2025-11-17T00:00:07+00:00,0.0145
1763424006,2025-11-18T00:00:06+00:00,0.0135
1763510408,2025-11-19T00:00:08+00:00,0.0135
1763596806,2025-11-20T00:00:06+00:00,0.0135
1763683208,2025-11-21T00:00:08+00:00,0.0135
1763769607,2025-11-22T00:00:07+00:00,0.0135
1763856007,2025-11-23T00:00:07+00:00,0.0135
1763942410,2025-11-24T00:00:10+00:00,0.0135
1764028807,2025-11-25T00:00:07+00:00,0.0135
1764115208,2025-11-26T00:00:08+00:00,0.0135
1764201608,2025-11-27T00:00:08+00:00,0.0135
1764288008,2025-11-28T00:00:08+00:00,0.0135
1764374409,2025-11-29T00:00:09+00:00,0.0135
1764460808,2025-11-30T00:00:08+00:00,0.0135
1764547207,2025-12-01T00:00:07+00:00,0.0125
1764633607,2025-12-02T00:00:07+00:00,0.0125
1764720009,2025-12-03T00:00:09+00:00,0.0125
