timestamp_unix,datetime_utc,increases_25_october_2025_yes
1750377608,2025-06-20T00:00:08+00:00,0.011
1750464008,2025-06-21T00:00:08+00:00,0.024
1750550406,2025-06-22T00:00:06+00:00,0.024
1750636807,2025-06-23T00:00:07+00:00,0.0245
1750723207,2025-06-24T00:00:07+00:00,0.023
1750809607,2025-06-25T00:00:07+00:00,0.022
1750896008,2025-06-26T00:00:08+00:00,0.0225
1750982407,2025-06-27T00:00:07+00:00,0.024
1751068807,2025-06-28T00:00:07+00:00,0.023
1751155208,2025-06-29T00:00:08+00:00,0.0225
1751241607,2025-06-30T00:00:07+00:00,0.023
1751328008,2025-07-01T00:00:08+00:00,0.0235
1751414407,2025-07-02T00:00:07+00:00,0.0195
1751500808,2025-07-03T00:00:08+00:00,0.016
1751587208,2025-07-04T00:00:08+00:00,0.0165
1751673608,2025-07-05T00:00:08+00:00,0.0155
1751760007,2025-07-06T00:00:07+00:00,0.016
1751846407,2025-07-07T00:00:07+00:00,0.016
1751932808,2025-07-08T00:00:08+00:00,0.018
1752019207,2025-07-09T00:00:07+00:00,0.0215
1752105608,2025-07-10T00:00:08+00:00,0.0245
1752192008,2025-07-11T00:00:08+00:00,0.0225
1752278409,2025-07-12T00:00:09+00:00,0.0225
1752364808,2025-07-13T00:00:08+00:00,0.0225
1752451207,2025-07-14T00:00:07+00:00,0.0225
1752537608,2025-07-15T00:00:08+00:00,0.024
1752624008,2025-07-16T00:00:08+00:00,0.0235
1752710408,2025-07-17T00:00:08+00:00,0.0265
1752796808,2025-07-18T00:00:08+00:00,0.0175
1752883209,2025-07-19T00:00:09+00:00,0.017
1752969608,2025-07-20T00:00:08+00:00,0.017
1753056007,2025-07-21T00:00:07+00:00,0.017
1753142409,2025-07-22T00:00:09+00:00,0.0205
1753228809,2025-07-23T00:00:09+00:00,0.0205
1753315209,2025-07-24T00:00:09+00:00,0.0205
1753401609,2025-07-25T00:00:09+00:00,0.0205
1753488009,2025-07-26T00:00:09+00:00,0.02
1753574410,2025-07-27T00:00:10+00:00,0.0195
1753660809,2025-07-28T00:00:09+00:00,0.0195
1753747210,2025-07-29T00:00:10+00:00,0.019
1753833610,2025-07-30T00:00:10+00:00,0.019
1753920008,2025-07-31T00:00:08+00:00,0.0205
1754006409,2025-08-01T00:00:09+00:00,0.017
1754092809,2025-08-02T00:00:09+00:00,0.0165
1754179208,2025-08-03T00:00:08+00:00,0.017
1754265607,2025-08-04T00:00:07+00:00,0.0175
1754352008,2025-08-05T00:00:08+00:00,0.017
1754438409,2025-08-06T00:00:09+00:00,0.017
1754524807,2025-08-07T00:00:07+00:00,0.0165
1754611206,2025-08-08T00:00:06+00:00,0.0185
1754697611,2025-08-09T00:00:11+00:00,0.0185
1754784007,2025-08-10T00:00:07+00:00,0.019
1754870410,2025-08-11T00:00:10+00:00,0.0175
1754956807,2025-08-12T00:00:07+00:00,0.0175
1755043204,2025-08-13T00:00:04+00:00,0.016
1755129607,2025-08-14T00:00:07+00:00,0.0165
1755216002,2025-08-15T00:00:02+00:00,0.0175
1755302407,2025-08-16T00:00:07+00:00,0.018
1755388805,2025-08-17T00:00:05+00:00,0.0165
1755475205,2025-08-18T00:00:05+00:00,0.0145
1755561607,2025-08-19T00:00:07+00:00,0.0145
1755648007,2025-08-20T00:00:07+00:00,0.0145
1755734408,2025-08-21T00:00:08+00:00,0.0135
1755820808,2025-08-22T00:00:08+00:00,0.0165
1755907206,2025-08-23T00:00:06+00:00,0.0095
1755993603,2025-08-24T00:00:03+00:00,0.0095
1756080004,2025-08-25T00:00:04+00:00,0.0095
1756166402,2025-08-26T00:00:02+00:00,0.0095
1756252803,2025-08-27T00:00:03+00:00,0.0095
1756339204,2025-08-28T00:00:04+00:00,0.0095
1756425609,2025-08-29T00:00:09+00:00,0.0095
1756512005,2025-08-30T00:00:05+00:00,0.0095
1756598409,2025-08-31T00:00:09+00:00,0.0095
1756684809,2025-09-01T00:00:09+00:00,0.0095
1756771209,2025-09-02T00:00:09+00:00,0.0085
1756857612,2025-09-03T00:00:12+00:00,0.0085
1756944006,2025-09-04T00:00:06+00:00,0.0085
1757030411,2025-09-05T00:00:11+00:00,0.0085
1757116821,2025-09-06T00:00:21+00:00,0.0085
1757203212,2025-09-07T00:00:12+00:00,0.0085
1757289616,2025-09-08T00:00:16+00:00,0.0085
1757376011,2025-09-09T00:00:11+00:00,0.0085
1757462406,2025-09-10T00:00:06+00:00,0.0095
1757548802,2025-09-11T00:00:02+00:00,0.0085
1757635203,2025-09-12T00:00:03+00:00,0.0085
1757721604,2025-09-13T00:00:04+00:00,0.0085
1757808019,2025-09-14T00:00:19+00:00,0.0085
1757894404,2025-09-15T00:00:04+00:00,0.0085
1757980802,2025-09-16T00:00:02+00:00,0.0085
1758067207,2025-09-17T00:00:07+00:00,0.0085
1758153607,2025-09-18T00:00:07+00:00,0.0075
1758240009,2025-09-19T00:00:09+00:00,0.0065
1758326404,2025-09-20T00:00:04+00:00,0.0055
1758412807,2025-09-21T00:00:07+00:00,0.0055
1758499216,2025-09-22T00:00:16+00:00,0.0055
1758585604,2025-09-23T00:00:04+00:00,0.0055
1758672008,2025-09-24T00:00:08+00:00,0.0055
1758758404,2025-09-25T00:00:04+00:00,0.0055
1758844812,2025-09-26T00:00:12+00:00,0.0055
1758931203,2025-09-27T00:00:03+00:00,0.0055
1759017611,2025-09-28T00:00:11+00:00,0.0055
1759104006,2025-09-29T00:00:06+00:00,0.0055
1759190405,2025-09-30T00:00:05+00:00,0.0055
1759276802,2025-10-01T00:00:02+00:00,0.0055
1759363209,2025-10-02T00:00:09+00:00,0.0055
1759449608,2025-10-03T00:00:08+00:00,0.0055
1759536006,2025-10-04T00:00:06+00:00,0.0045
1759622407,2025-10-05T00:00:07+00:00,0.0045
1759708803,2025-10-06T00:00:03+00:00,0.0045
1759795212,2025-10-07T00:00:12+00:00,0.0045
1759881613,2025-10-08T00:00:13+00:00,0.0035
1759968009,2025-10-09T00:00:09+00:00,0.0035
1760054403,2025-10-10T00:00:03+00:00,0.0025
1760140809,2025-10-11T00:00:09+00:00,0.0025
1760227206,2025-10-12T00:00:06+00:00,0.0025
1760313615,2025-10-13T00:00:15+00:00,0.0025
1760400016,2025-10-14T00:00:16+00:00,0.0025
1760486403,2025-10-15T00:00:03+00:00,0.0025
1760572819,2025-10-16T00:00:19+00:00,0.0025
1760659213,2025-10-17T00:00:13+00:00,0.0025
1760745618,2025-10-18T00:00:18+00:00,0.0025
1760832008,2025-10-19T00:00:08+00:00,0.0025
1760918408,2025-10-20T00:00:08+00:00,0.0025
1761004817,2025-10-21T00:00:17+00:00,0.0025
1761091227,2025-10-22T00:00:27+00:00,0.0015
1761177613,2025-10-23T00:00:13+00:00,0.0015
1761264023,2025-10-24T00:00:23+00:00,0.0015
1761350420,2025-10-25T00:00:20+00:00,0.0015
